date,type,value
12/5/15,groceries,4.89
12/6/15,lunch out,5.37
12/9/15,groceries,26.95
12/11/15,groceries,29.81
12/13/15,groceries,4.68
12/18/15,groceries,18.75
12/19/15,groceries,7.33
12/24/15,lunch out,15
12/26/15,dinner out,26
12/26/15,groceries,9.51
12/30/15,groceries,26.52
1/2/16,groceries,5.36
1/2/16,groceries,26.77
1/4/16,groceries,14.74
1/5/16,groceries,22.6
1/10/16,groceries,24.66
1/11/16,groceries,9.88
1/13/16,groceries,10.34
1/13/16,groceries,4.68
1/15/16,groceries,5.1
1/16/16,dinner out,84
1/17/16,groceries,18.97
1/20/16,groceries,12.38
1/27/16,groceries,5.42
1/28/16,dinner out,30
1/29/16,groceries,10.06
1/31/16,lunch out,40
2/2/16,groceries,23.86
2/2/16,groceriesf,26.57
2/3/16,groceries,26
2/3/16,lunch out,13
2/3/16,snack out,16
2/5/16,groceries,4.89
2/5/16,groceries,26.25
2/11/16,groceries,27.2
2/16/16,groceries,38.41
2/16/16,groceries,18
2/18/16,groceries,7.5
2/19/16,groceries,23.3
2/20/16,groceries,29.23
2/22/16,groceries,9.88
2/26/16,groceries,30.5
2/27/16,groceries,10.09
2/29/16,groceries,42.41
3/2/16,groceries,4.68
3/3/16,groceries,38.25
3/4/16,groceries,20.38
3/4/16,lunch out,17
3/11/16,groceries,36.81
3/13/16,groceries,20
3/21/16,groceries,2.99
3/21/16,groceries,42.47
3/22/16,groceries,5.43
3/22/16,groceries,30.73
3/24/16,groceries,45.83
3/24/16,groceries,45.83
3/25/16,groceries,57.56
3/25/16,groceries,5.98
3/26/16,groceries,69.15
3/26/16,groceries,29.04
3/29/16,groceries,2.59
3/31/16,groceries,4.68
4/2/16,groceries,2.74
4/4/16,lunch out,9.67
4/5/16,groceries,28.54
4/5/16,lunch out,9.67
4/8/16,groceries,11.5
4/9/16,groceries,43.42
4/10/16,groceries,6.31
4/11/16,groceries,12
4/11/16,groceries,31.25
4/12/16,groceries,7.02
4/13/16,groceries,8.5
4/13/16,groceries,8.33
4/13/16,groceries,15.86
4/14/16,groceries,4.68
4/17/16,groceries,28.73
4/17/16,groceries,8
4/20/16,groceries,41
4/23/16,groceries,18.49
4/23/16,snack out,4.99
4/24/16,groceries,0.88
4/27/16,groceries,28.06
4/28/16,groceries,37.78
4/29/16,dinner out,25
4/30/16,coffee,2.5
5/1/16,groceries,48.39
5/2/16,groceries,12.5
5/2/16,groceries,12.93
5/4/16,groceries,25
5/7/16,groceries,42.93
5/8/16,groceries,4.7
5/10/16,groceries,37.35
5/14/16,groceries,12
5/16/16,groceries,15
5/18/16,groceries,20.78
5/20/16,groceries,10
5/22/16,groceries,2.59
5/23/16,groceries,19.02
5/24/16,groceries,3
5/28/16,groceries,2
5/29/16,groceries,10.06
5/29/16,groceries,47.43
6/2/16,snack out,3.58
6/4/16,dinner out,7.17
6/4/16,groceries,14.09
6/4/16,groceries,23.59
6/6/16,groceries,32.62
6/6/16,lunch out,9.76
6/8/16,groceries,5.25
6/11/16,groceries,5.28
6/12/16,groceries,31.26
6/13/16,groceries,7.28
6/23/16,groceries,17.68
6/23/16,groceries,42.91
6/24/16,groceries,7
6/26/16,groceries,11.87
6/27/16,groceries,16.72
6/30/16,groceries,29.57
7/1/16,groceries,10.3
7/1/16,groceries,3.85
7/2/16,dinner out,7
7/2/16,dinner out,4.5
7/3/16,groceries,10.06
7/3/16,groceries,20.47
7/5/16,groceries,19.74
7/5/16,groceries,22.75
7/6/16,dinner out,25
7/8/16,groceries,22.05
7/10/16,snack out,4
7/13/16,groceries,37.85
7/15/16,groceries,3.84
7/15/16,groceries,4.79
7/17/16,dinner out,55
7/20/16,groceries,30.32
7/21/16,snack out,1.09
7/21/16,snack out,0.75
7/22/16,groceries,12.43
7/22/16,lunch out,5.5
7/24/16,snack out,10
7/26/16,groceries,41.28
7/29/16,snack out,5
7/30/16,lunch out,38
7/31/16,snack out,4.44
8/6/16,dinner out,16.24
8/6/16,groceries,2
8/6/16,groceries,28
8/7/16,groceries,13.01
8/9/16,groceries,14.97
8/9/16,groceries,15.73
8/11/16,dinner out,7.55
8/11/16,groceries,2.39
8/12/16,groceries,17.45
8/12/16,groceries,20.55
8/13/16,groceries,5.89
8/13/16,snack out,5
8/16/16,groceries,37.5
8/16/16,groceries,11.48
8/22/16,groceries,19.3
8/26/16,groceries,11.44
9/1/16,dinner out,17.3
9/1/16,groceries,11.2
9/2/16,groceries,11.05
9/4/16,coffee,3.27
9/4/16,groceries,16.07
9/5/16,groceries,3.29
9/5/16,groceries,15.58
9/6/16,groceries,21.65
9/8/16,dinner out,8.42
9/8/16,dinner out,8.42
9/12/16,lunch out,3.81
9/14/16,groceries,17.15
9/15/16,groceries,46.42
9/15/16,groceries,10
9/19/16,lunch out,3.81
9/20/16,groceries,15.51
9/21/16,groceries,5
9/21/16,lunch out,3.81
